,Method,Label,Value,k
0,MoE w/ scArches,Tissue,0.9379400742769759,1
1,MoE w/ scArches,Type,0.6697754804074151,1
2,MoE w/ scArches,functional.cluster,0.44959241731786054,1
3,MoE w/ scArches,Tissue,0.9553719008264463,3
4,MoE w/ scArches,Type,0.7152928446897215,3
5,MoE w/ scArches,functional.cluster,0.4756939606781141,3
6,MoE w/ scArches,Tissue,0.9614999096242011,5
7,MoE w/ scArches,Type,0.7384192254590873,5
8,MoE w/ scArches,functional.cluster,0.49601029189339807,5
9,MoE w/ scArches,Tissue,0.9674889723901324,10
10,MoE w/ scArches,Type,0.7645721427697526,10
11,MoE w/ scArches,functional.cluster,0.5135321365507461,10
12,MoE w/ scArches,Tissue,0.9771807735879591,30
13,MoE w/ scArches,Type,0.7934323798863026,30
14,MoE w/ scArches,functional.cluster,0.5215390856392018,30
15,MoE w/ scArches,Tissue,0.9803326825962796,50
16,MoE w/ scArches,Type,0.803014873804145,50
17,MoE w/ scArches,functional.cluster,0.5226695227449129,50
18,MoE w/ scArches,Tissue,0.9852605889342025,100
19,MoE w/ scArches,Type,0.812957998604631,100
20,MoE w/ scArches,functional.cluster,0.5196754350972359,100
21,MoE w/ scArches,Tissue,0.9911244492688844,300
22,MoE w/ scArches,Type,0.8285002810158044,300
23,MoE w/ scArches,functional.cluster,0.515948643029848,300
24,MoE w/ scArches,Tissue,0.9933741080530071,500
25,MoE w/ scArches,Type,0.832568181625159,500
26,MoE w/ scArches,functional.cluster,0.5125835897371578,500
27,MoE w/ scArches,Tissue,0.9952624717815013,1000
28,MoE w/ scArches,Type,0.8260299955267116,1000
29,MoE w/ scArches,functional.cluster,0.507542170542827,1000
30,MoE w/o scArches,Tissue,0.8898257448004497,1
31,MoE w/o scArches,Type,0.5367297235429276,1
32,MoE w/o scArches,functional.cluster,0.4523965808248573,1
33,MoE w/o scArches,Tissue,0.9048312192416996,3
34,MoE w/o scArches,Type,0.5745995754042241,3
35,MoE w/o scArches,functional.cluster,0.48178575171542226,3
36,MoE w/o scArches,Tissue,0.9127255836358319,5
37,MoE w/o scArches,Type,0.5991225625390312,5
38,MoE w/o scArches,functional.cluster,0.5008760031277903,5
39,MoE w/o scArches,Tissue,0.9226783035592526,10
40,MoE w/o scArches,Type,0.6373277423943998,10
41,MoE w/o scArches,functional.cluster,0.5168765214451906,10
42,MoE w/o scArches,Tissue,0.9382969072857695,30
43,MoE w/o scArches,Type,0.6879577403618313,30
44,MoE w/o scArches,functional.cluster,0.5288356551280261,30
45,MoE w/o scArches,Tissue,0.942772545542749,50
46,MoE w/o scArches,Type,0.7028116275326465,50
47,MoE w/o scArches,functional.cluster,0.52781280875804,50
48,MoE w/o scArches,Tissue,0.9501661129568107,100
49,MoE w/o scArches,Type,0.7254001808587444,100
50,MoE w/o scArches,functional.cluster,0.5260631868561817,100
51,MoE w/o scArches,Tissue,0.9613463055482513,300
52,MoE w/o scArches,Type,0.7567933409032261,300
53,MoE w/o scArches,functional.cluster,0.5210555091685827,300
54,MoE w/o scArches,Tissue,0.9663744602904619,500
55,MoE w/o scArches,Type,0.7669610898474647,500
56,MoE w/o scArches,functional.cluster,0.5181973455550731,500
57,MoE w/o scArches,Tissue,0.9698619419406367,1000
58,MoE w/o scArches,Type,0.7710208446320449,1000
59,MoE w/o scArches,functional.cluster,0.5089035471222566,1000
